epoch,accuracy,loss,val_accuracy,val_loss
0,0.9890109896659851,0.10962726175785065,1.0,0.011144711636006832
1,0.9890109896659851,0.10762671381235123,1.0,0.010884683579206467
2,0.9890109896659851,0.10544675588607788,1.0,0.01077275350689888
3,0.9890109896659851,0.10349487513303757,1.0,0.010710052214562893
4,0.9890109896659851,0.1013435497879982,1.0,0.010630355216562748
5,0.9890109896659851,0.09967806190252304,1.0,0.010525926016271114
6,0.9890109896659851,0.0977206826210022,1.0,0.010474472306668758
7,0.9890109896659851,0.09604515135288239,1.0,0.010360656306147575
8,0.9890109896659851,0.09473211318254471,1.0,0.010258589871227741
9,0.9890109896659851,0.09318649023771286,1.0,0.01023368164896965
10,0.9890109896659851,0.09177849441766739,1.0,0.010280218906700611
11,0.9890109896659851,0.09039825201034546,1.0,0.010387297719717026
12,0.9890109896659851,0.08895431458950043,1.0,0.01045252475887537
13,0.9890109896659851,0.0877871960401535,1.0,0.010564654134213924
14,0.9890109896659851,0.08676104247570038,1.0,0.010673640295863152
